cluster,frase_exemplo,ativo_cluster,n_eventos,n_motivos_unicos,prompt_version,first_event_date,last_event_date,event_dates,frases_originais,seq_d0,seq_d1,seq_d2,seq_d3,seq_d4,seq_d5
0,Variações nos preços internacionais do petróleo.,EXXO34,29,29,news-cluster-v1,2020-12-04,2026-03-12,"[""2020-12-04"", ""2020-12-07"", ""2020-12-08"", ""2021-01-15"", ""2021-01-18"", ""2021-02-05"", ""2021-02-09"", ""2021-03-04"", ""2021-03-19"", ""2021-03-26"", ""2021-05-17"", ""2021-07-21"", ""2021-08-19"", ""2022-02-08"", ""2022-04-27"", ""2022-04-29"", ""2022-06-30"", ""2022-07-05"", ""2022-11-28"", ""2023-05-17"", ""2023-08-09"", ""2023-08-23"", ""2023-10-04"", ""2024-06-24"", ""2024-09-26"", ""2025-03-10"", ""2025-04-03"", ""2026-01-08"", ""2026-03-12""]","[""Alta dos preços do petróleo"", ""Queda nos preços do petróleo"", ""Alta nos preços do petróleo"", ""Alta do petróleo"", ""queda nos preços internacionais do petróleo"", ""Alta nos preços internacionais do petróleo"", ""Queda do preço do petróleo"", ""Alta do preço do petróleo"", ""Queda nos preços internacionais do petróleo"", ""Alta do preço internacional do petróleo"", ""Alta dos preços internacionais do petróleo"", ""Recuperação dos preços do petróleo"", ""Queda do preço internacional do petróleo"", ""queda dos preços do petróleo"", ""Alta nos preços do petróleo e gás"", ""Volatilidade nos preços do petróleo"", ""queda nos preços do petróleo"", ""Queda dos preços internacionais do petróleo"", ""Queda dos preços do petróleo"", ""Valorização dos preços do petróleo"", ""Alta do preço do petróleo no mercado internacional"", ""Queda do preço do petróleo no mercado internacional"", ""Queda acentuada nos preços do petróleo"", ""Alta do petróleo no mercado internacional"", ""queda do preço internacional do petróleo"", ""Valorização do petróleo"", ""Desvalorização do petróleo no mercado internacional"", ""Valorização do petróleo no mercado internacional"", ""Oscilação do preço internacional do petróleo""]",-0.5130644649693388,0.5556981354520142,1.2737026370606666,-0.16151152978282468,-0.015037895922352287,
1,Resultados trimestrais acima do esperado geram otimismo no setor.,EXXO34,4,4,news-cluster-v1,2021-11-01,2025-07-25,"[""2021-11-01"", ""2022-02-01"", ""2025-07-08"", ""2025-07-25""]","[""Resultados trimestrais acima do esperado"", ""Divulgação de resultados trimestrais acima do esperado"", ""Otimismo com resultados trimestrais de empresas do setor"", ""Expectativas otimistas para resultados trimestrais""]",3.3150817152085605,0.3983100828279495,,,,
2,Resultados trimestrais positivos e perspectivas otimistas para a ExxonMobil.,EXXO34,19,19,news-cluster-v1,2021-02-03,2026-02-23,"[""2021-02-03"", ""2021-05-03"", ""2021-07-26"", ""2022-05-06"", ""2022-07-29"", ""2022-10-28"", ""2023-01-26"", ""2023-02-09"", ""2023-08-03"", ""2023-08-09"", ""2024-04-26"", ""2024-09-23"", ""2025-01-10"", ""2025-03-10"", ""2025-04-09"", ""2025-10-22"", ""2025-12-03"", ""2026-01-14"", ""2026-02-23""]","[""Resultados trimestrais positivos da Exxon Mobil"", ""Resultados financeiros positivos da Exxon Mobil"", ""Expectativa de bons resultados trimestrais da Exxon Mobil"", ""Divulgação de resultados trimestrais positivos da Exxon Mobil"", ""Lucro recorde da ExxonMobil impulsionado por preços elevados do petróleo"", ""Resultados trimestrais fortes da Exxon Mobil"", ""Divulgação de resultados trimestrais positivos da ExxonMobil"", ""Divulgação de resultados financeiros positivos da Exxon Mobil"", ""Resultados trimestrais acima do esperado da ExxonMobil"", ""Otimismo com resultados recentes da ExxonMobil"", ""Resultados trimestrais da Exxon Mobil abaixo das expectativas"", ""Perspectiva de bons resultados trimestrais da Exxon Mobil"", ""Perspectivas positivas para a ExxonMobil após divulgação de relatório de analistas"", ""Otimismo com resultados da Exxon Mobil"", ""Divulgação de resultados operacionais positivos da Exxon Mobil"", ""Resultados trimestrais positivos da ExxonMobil"", ""Perspectiva positiva para resultados da ExxonMobil"", ""Perspectiva positiva para resultados trimestrais da Exxon Mobil"", ""Resultados financeiros positivos da ExxonMobil""]",2.7605382474605706,-1.3279600484881269,0.559272206157202,,,
3,Queda global do setor de energia,EXXO34,7,7,news-cluster-v1,2021-06-18,2026-03-13,"[""2021-06-18"", ""2023-03-15"", ""2026-01-06"", ""2026-02-12"", ""2026-02-20"", ""2026-03-11"", ""2026-03-13""]","[""queda global das ações de energia"", ""Queda global do setor de energia"", ""Queda do setor de energia global"", ""Variação do setor de energia"", ""queda do setor de energia internacional"", ""Acompanhamento do setor de energia"", ""Variação internacional do setor de energia""]",-3.0847115153123723,0.8653172131459078,0.8419899985763699,0.417451960548859,-0.6298873588874275,
4,Tensões e avanços diplomáticos entre Rússia e Ucrânia.,EXXO34,4,4,news-cluster-v1,2022-01-25,2022-03-09,"[""2022-01-25"", ""2022-02-14"", ""2022-03-04"", ""2022-03-09""]","[""Tensões geopolíticas Rússia-Ucrânia"", ""Tensões geopolíticas entre Rússia e Ucrânia"", ""Tensões geopolíticas envolvendo Rússia e Ucrânia"", ""Possível avanço diplomático entre Rússia e Ucrânia""]",-0.49348128671243274,3.7280548912773783,,,,
5,Incertezas sobre a economia global e riscos de recessão impactam o ativo.,EXXO34,5,5,news-cluster-v1,2022-04-29,2026-02-20,"[""2022-04-29"", ""2022-06-22"", ""2022-06-30"", ""2022-11-09"", ""2026-02-20""]","[""Temores de recessão global"", ""Preocupações com recessão global"", ""temores de recessão global"", ""Preocupações com a demanda global e risco de recessão"", ""movimento macroeconômico global""]",-3.0777005139788303,3.315868446188582,,,,
6,Desempenho e sentimento negativos nos mercados globais.,EXXO34,2,2,news-cluster-v1,2021-03-19,2022-12-28,"[""2021-03-19"", ""2022-12-28""]","[""Desempenho negativo das bolsas globais"", ""Sentimento negativo nos mercados globais""]",-2.260760700730846,0.12119260923022113,,,,
7,Preocupações com a demanda global de energia e petróleo.,EXXO34,9,9,news-cluster-v1,2021-06-28,2023-05-03,"[""2021-06-28"", ""2021-09-30"", ""2022-03-14"", ""2022-04-11"", ""2022-08-30"", ""2022-11-21"", ""2022-11-28"", ""2022-12-06"", ""2023-05-03""]","[""Preocupações com a demanda global devido à Covid-19"", ""Preocupações com a demanda global de energia"", ""Preocupações com demanda devido à Covid-19 na China"", ""Preocupações com a demanda global por petróleo"", ""Preocupações com demanda global"", ""Preocupações com demanda global de energia"", ""Preocupações com a demanda global devido à situação na China"", ""Preocupações com a demanda global"", ""Preocupações com a demanda global por energia""]",-3.7659069527014597,0.0647540977987948,,,,
8,Otimismo global impulsiona commodities e mercados de ações.,EXXO34,2,2,news-cluster-v1,2022-11-10,2026-01-05,"[""2022-11-10"", ""2026-01-05""]","[""Otimismo global nos mercados de ações"", ""Otimismo global com commodities""]",3.737450743236376,,,,,
9,Preocupações com inflação e possível alta de juros nos EUA.,EXXO34,7,7,news-cluster-v1,2021-05-11,2022-06-13,"[""2021-05-11"", ""2021-05-18"", ""2021-06-18"", ""2022-01-19"", ""2022-01-21"", ""2022-05-09"", ""2022-06-13""]","[""Temores de inflação e possível aperto monetário nos EUA"", ""Temores globais sobre inflação e juros"", ""expectativa de alta de juros nos EUA"", ""Temores sobre política monetária mais restritiva nos EUA"", ""Expectativa de alta dos juros nos EUA"", ""Temores sobre inflação e juros nos EUA"", ""temor de alta de juros nos EUA""]",-3.0197907131116954,1.396033913505529,0.8419899985763699,0.417451960548859,-0.6298873588874275,
