cluster,frase_exemplo,ativo_cluster,n_eventos,n_motivos_unicos,prompt_version,first_event_date,last_event_date,event_dates,frases_originais,seq_d0,seq_d1,seq_d2,seq_d3,seq_d4,seq_d5
0,Perspectiva positiva de aumento na produção e nas receitas da empresa.,PRIO3,9,9,news-cluster-v1,2020-11-19,2025-05-12,"[""2020-11-19"", ""2021-01-21"", ""2022-11-11"", ""2023-01-11"", ""2023-05-05"", ""2023-10-09"", ""2023-11-17"", ""2024-08-08"", ""2025-05-12""]","[""Perspectiva de aumento de produção e receitas"", ""Perspectivas positivas para produção da PetroRio"", ""Perspectivas positivas para produção e resultados da empresa"", ""Perspectiva de aumento de receita e produção"", ""Perspectiva positiva para produção e receitas"", ""Perspectiva de aumento de receita e lucro"", ""Perspectivas positivas para produção da empresa"", ""Perspectiva favorável para produção e receitas"", ""Perspectiva otimista para produção e receitas futuras""]",4.989596588459451,1.2961346120797694,-0.17482240793021375,-0.7455419823382281,0.0,-0.06350785970424684
1,Otimismo generalizado do mercado em relação ao setor de óleo e gás.,PRIO3,21,21,news-cluster-v1,2020-11-25,2025-12-03,"[""2020-11-25"", ""2020-11-27"", ""2020-12-04"", ""2020-12-29"", ""2021-02-05"", ""2021-08-24"", ""2021-09-24"", ""2022-01-14"", ""2022-11-24"", ""2023-01-19"", ""2023-03-27"", ""2023-06-13"", ""2024-01-15"", ""2024-03-13"", ""2024-07-24"", ""2024-07-26"", ""2024-09-13"", ""2025-03-26"", ""2025-06-02"", ""2025-11-05"", ""2025-12-03""]","[""Otimismo com o setor de óleo e gás"", ""Otimismo generalizado com o setor de óleo e gás"", ""Otimismo do mercado com o setor de óleo e gás"", ""Otimismo com o setor de petróleo"", ""Perspectivas positivas para o setor de óleo e gás"", ""Otimismo geral no setor de petróleo e gás"", ""Perspectiva positiva para empresas do setor de óleo e gás"", ""Otimismo com o setor de óleo e gás brasileiro"", ""Otimismo do mercado com empresas do setor de óleo e gás"", ""Expectativas positivas para o setor de petróleo"", ""Otimismo do mercado com o setor de petróleo"", ""Otimismo generalizado no setor de petróleo e gás"", ""Otimismo com o setor de óleo e gás na B3"", ""Otimismo geral com o setor de óleo e gás"", ""Otimismo com produção e preços do petróleo"", ""Movimento de valorização do setor de óleo e gás na B3"", ""Otimismo generalizado com empresas do setor de óleo e gás"", ""Perspectivas otimistas para o setor de óleo e gás"", ""Perspectiva positiva para o setor de óleo e gás"", ""otimismo do mercado com o setor de petróleo"", ""Otimismo generalizado no setor de energia""]",3.3707689455293823,0.7744246307145185,-0.07727739341683293,0.11764498234086303,0.6532717115943125,-1.1982015121855576
2,Oscilações e desempenho do setor de petróleo e gás impactam o comportamento de PRIO3 na bolsa.,PRIO3,24,24,news-cluster-v1,2020-12-02,2026-03-23,"[""2020-12-02"", ""2021-02-09"", ""2021-03-08"", ""2021-03-18"", ""2021-05-20"", ""2021-07-30"", ""2021-12-30"", ""2022-04-01"", ""2022-07-13"", ""2023-10-31"", ""2023-12-07"", ""2024-01-10"", ""2024-01-26"", ""2024-12-06"", ""2025-01-27"", ""2025-01-29"", ""2025-03-07"", ""2025-04-04"", ""2025-04-24"", ""2025-06-24"", ""2026-01-28"", ""2026-02-12"", ""2026-02-23"", ""2026-03-23""]","[""volatilidade do setor de petróleo"", ""desempenho negativo do setor de petróleo"", ""Movimento negativo do setor de petróleo e gás na B3"", ""Movimento negativo do setor de petróleo e gás na bolsa"", ""Movimento negativo do setor de petróleo na B3"", ""queda do setor de petróleo"", ""Valorização do setor de petróleo"", ""Desempenho positivo do setor de petróleo na bolsa"", ""Movimento negativo do setor de petróleo na bolsa"", ""Movimento positivo do setor de petróleo"", ""Movimento positivo do setor de petróleo na bolsa"", ""ajuste negativo no setor de petróleo"", ""Movimento de alta generalizada no setor de petróleo e gás"", ""Desempenho negativo do setor de petróleo na bolsa"", ""Variação do setor de petróleo"", ""Acompanhamento do desempenho negativo do setor de petróleo no mercado internacional"", ""movimento positivo do setor de petróleo"", ""avaliação negativa do setor de petróleo e gás"", ""movimento de alta do setor de petróleo"", ""Movimento de aversão ao risco no setor de petróleo e gás"", ""Acompanhamento do setor de petróleo"", ""Oscilação do setor de petróleo"", ""Movimento negativo do setor de petróleo no mercado global"", ""Movimento negativo do mercado de petróleo""]",-1.2750954041327338,-0.37250765835440186,-0.7397611169181357,-0.3628937329516386,,
3,Investidores realizam lucros no setor e no mercado brasileiro.,PRIO3,10,10,news-cluster-v1,2020-12-08,2025-03-10,"[""2020-12-08"", ""2020-12-18"", ""2021-01-22"", ""2021-02-11"", ""2021-11-12"", ""2022-12-07"", ""2024-08-06"", ""2025-01-16"", ""2025-02-24"", ""2025-03-10""]","[""realização de lucros"", ""Movimento geral de realização de lucros no mercado brasileiro"", ""Movimento de realização de lucros no mercado brasileiro"", ""Movimento de realização de lucros no setor"", ""realização de lucros pelos investidores"", ""Realização de lucros por investidores"", ""realização de lucros por investidores"", ""Movimento de realização de lucros"", ""movimento de realização de lucros no setor"", ""realização de lucros no setor""]",-3.202522238141544,0.749416023999329,-0.046828513679248014,0.07028014748020306,,
4,Otimismo com os resultados operacionais e financeiros da PRIO.,PRIO3,20,20,news-cluster-v1,2021-02-12,2025-04-24,"[""2021-02-12"", ""2021-07-29"", ""2022-02-04"", ""2022-02-11"", ""2022-03-18"", ""2022-07-18"", ""2022-08-12"", ""2022-08-24"", ""2022-10-31"", ""2023-01-19"", ""2023-02-06"", ""2023-04-28"", ""2023-08-03"", ""2024-02-21"", ""2024-04-25"", ""2024-07-24"", ""2024-11-04"", ""2025-01-30"", ""2025-03-07"", ""2025-04-24""]","[""Expectativas positivas sobre resultados da empresa"", ""Expectativas positivas sobre resultados operacionais"", ""Expectativa positiva para resultados trimestrais"", ""Expectativas positivas sobre resultados operacionais da PRIO"", ""Otimismo com resultados operacionais da empresa"", ""Expectativa de resultados financeiros robustos"", ""Otimismo com resultados operacionais do setor"", ""Perspectivas positivas para resultados operacionais"", ""Expectativa positiva sobre resultados operacionais"", ""Otimismo com resultados operacionais"", ""Expectativa positiva para resultados financeiros da empresa"", ""Perspectivas positivas para resultados trimestrais"", ""Expectativa de resultados financeiros fortes"", ""Expectativas positivas para resultados trimestrais"", ""Perspectiva positiva para resultados operacionais"", ""Expectativa de bons resultados trimestrais"", ""expectativa de resultados financeiros sólidos"", ""Perspectiva positiva para resultados trimestrais"", ""otimismo com resultados operacionais"", ""otimismo com resultados trimestrais""]",3.521727956818259,0.1214420063786611,0.23258857450038362,,,
5,Queda generalizada dos mercados globais,PRIO3,3,3,news-cluster-v1,2021-09-17,2021-12-20,"[""2021-09-17"", ""2021-11-26"", ""2021-12-20""]","[""Queda generalizada do mercado brasileiro"", ""Queda generalizada do petróleo e bolsas mundiais"", ""Queda generalizada dos mercados globais""]",-6.176110989410212,-1.1278950495275917,,,,
6,"Predomina o sentimento negativo em relação ao setor de petróleo, energia e ao mercado brasileiro.",PRIO3,8,8,news-cluster-v1,2021-03-22,2025-10-14,"[""2021-03-22"", ""2022-06-22"", ""2024-08-02"", ""2024-09-26"", ""2025-04-03"", ""2025-04-23"", ""2025-06-26"", ""2025-10-14""]","[""Sentimento negativo no mercado brasileiro"", ""Sentimento negativo no mercado acionário brasileiro"", ""sentimento negativo no mercado internacional"", ""Sentimento negativo no setor de petróleo e energia"", ""Sentimento negativo no setor de óleo e gás"", ""Sentimento negativo no setor de petróleo e gás"", ""Sentimento positivo no setor de energia"", ""Sentimento negativo no setor de energia""]",-3.810686055042324,-1.4323099813461548,1.2658290124543903,-1.4150996868529522,,
7,Expectativa de crescimento na produção de petróleo.,PRIO3,3,3,news-cluster-v1,2022-11-14,2024-04-23,"[""2022-11-14"", ""2023-05-17"", ""2024-04-23""]","[""Aumento da produção de petróleo"", ""Perspectiva de aumento na produção de petróleo"", ""Perspectiva favorável para produção de petróleo""]",3.4591498486071957,-0.9679869254275105,1.705653969090527,-2.1098245614397717,,
8,Aversão ao risco impacta negativamente o desempenho de PRIO3 em cenários de incerteza nos mercados globais e brasileiros.,PRIO3,20,20,news-cluster-v1,2021-02-23,2025-11-25,"[""2021-02-23"", ""2021-03-23"", ""2021-03-30"", ""2021-05-12"", ""2021-08-16"", ""2021-09-03"", ""2022-01-21"", ""2022-05-05"", ""2022-05-17"", ""2022-07-05"", ""2022-09-06"", ""2022-09-23"", ""2022-10-14"", ""2023-03-09"", ""2023-03-15"", ""2023-09-21"", ""2024-08-19"", ""2025-02-21"", ""2025-09-05"", ""2025-11-25""]","[""Realização de lucros e aversão ao risco no mercado brasileiro"", ""Aversão ao risco no mercado brasileiro"", ""Movimento geral de aversão a risco no mercado brasileiro"", ""Aversão ao risco em mercados emergentes"", ""Aversão ao risco nos mercados globais"", ""Movimento de aversão ao risco no mercado brasileiro"", ""Aversão ao risco em mercados globais"", ""Aversão ao risco em mercados globais devido à alta dos juros nos EUA"", ""aversão ao risco em mercados emergentes"", ""Aversão ao risco em mercados globais de commodities"", ""Aversão ao risco no mercado brasileiro antes do feriado"", ""Aversão ao risco nos mercados globais devido a temores de recessão"", ""Movimento de aversão a risco no mercado brasileiro"", ""Movimento de aversão ao risco no mercado global"", ""Aversão ao risco nos mercados globais devido a temores de crise bancária nos EUA e Europa"", ""Aversão ao risco nos mercados globais após decisão do Fed"", ""Aversão ao risco no mercado global"", ""Aversão ao risco no mercado acionário"", ""movimento de aversão a risco no mercado brasileiro"", ""Aversão ao risco no mercado acionário brasileiro""]",-3.1836870737442973,0.13158668536385104,-0.8090231938663477,0.06500611013566937,0.842348718626175,0.34316606330932836
9,"Crescimento expressivo da produção, receita e lucro.",PRIO3,6,6,news-cluster-v1,2021-05-14,2024-03-12,"[""2021-05-14"", ""2021-08-10"", ""2021-11-05"", ""2022-08-11"", ""2023-11-10"", ""2024-03-12""]","[""Aumento da produção e lucro acima do esperado"", ""Aumento da produção e lucro"", ""Crescimento expressivo de receita e lucro"", ""Aumento da produção e do lucro líquido"", ""Aumento da produção e receitas"", ""Crescimento da produção e lucro líquido robusto""]",7.001145695583688,0.9993329378162815,1.4902865238619143,,,
